user_id,diet_type,product_name,PROD_CAT,predicted_risk,safety_score,health_score,recommendation_score
User_0,Keto,Product_327,Processed,serious,0.3,0.784600635671048,0.4938402542684192
User_0,Keto,Product_1127,Fruits,serious,0.3,0.991632848789553,0.5766531395158212
User_0,Keto,Product_891,Processed,undecided,0.6,0.5619815155643191,0.5847926062257276
User_0,Keto,Product_2096,Fruits,undecided,0.6,0.9806753278857774,0.752270131154311
User_0,Keto,Product_694,Fruits,undecided,0.6,0.788419730069275,0.67536789202771
User_1,Regular,Product_388,Vegetables,serious,0.3,0.9349168535792136,0.5539667414316854
User_1,Regular,Product_2477,Meat,not_serious,0.9,0.7603799610615452,0.8441519844246181
User_1,Regular,Product_29,Meat,serious,0.3,0.8094606576442611,0.5037842630577045
User_1,Regular,Product_2472,Processed,undecided,0.6,0.8934834605781261,0.7173933842312504
User_1,Regular,Product_769,Vegetables,undecided,0.6,0.9304256031057825,0.732170241242313
User_2,Regular,Product_1520,Grains,not_serious,0.9,0.5890829571173006,0.7756331828469203
User_2,Regular,Product_1189,Nuts,undecided,0.6,0.7713165904131085,0.6685266361652434
User_2,Regular,Product_1551,Seafood,undecided,0.6,0.5630972738152118,0.5852389095260847
User_2,Regular,Product_988,Fruits,not_serious,0.9,0.6751551591935867,0.8100620636774347
User_2,Regular,Product_2435,Meat,not_serious,0.9,0.7775070694457591,0.8510028277783037
User_3,Regular,Product_2185,Dairy,not_serious,0.9,0.9907773450925818,0.9363109380370327
User_3,Regular,Product_340,Dairy,undecided,0.6,0.9082334279872668,0.7232933711949068
User_3,Regular,Product_1825,Seafood,not_serious,0.9,0.8250777827901676,0.8700311131160672
User_3,Regular,Product_1600,Nuts,not_serious,0.9,0.8004574539938888,0.8601829815975556
User_3,Regular,Product_2031,Vegetables,serious,0.3,0.5843627424095438,0.4137450969638175
User_4,Regular,Product_359,Dairy,serious,0.3,0.686202504102684,0.45448100164107363
User_4,Regular,Product_2301,Seafood,not_serious,0.9,0.9603442507364192,0.9241377002945677
User_4,Regular,Product_2629,Processed,not_serious,0.9,0.9079918969768639,0.9031967587907457
User_4,Regular,Product_9,Fruits,serious,0.3,0.7333395788169099,0.47333583152676395
User_4,Regular,Product_2787,Seafood,undecided,0.6,0.6704157634900652,0.628166305396026
User_5,Keto,Product_2120,Nuts,serious,0.3,0.8095557682486025,0.503822307299441
User_5,Keto,Product_481,Grains,not_serious,0.9,0.5761827413160105,0.7704730965264043
User_5,Keto,Product_961,Vegetables,serious,0.3,0.7347527710924646,0.47390110843698585
User_5,Keto,Product_2938,Vegetables,serious,0.3,0.57132167148084,0.408528668592336
User_5,Keto,Product_1410,Meat,serious,0.3,0.6144974943487491,0.42579899773949964
User_6,Vegan,Product_1256,Grains,undecided,0.6,0.5016675331530628,0.5606670132612251
User_6,Vegan,Product_2185,Dairy,not_serious,0.9,0.9907773450925818,0.9363109380370327
User_6,Vegan,Product_1316,Fruits,not_serious,0.9,0.8259091084272615,0.8703636433709047
User_6,Vegan,Product_911,Seafood,undecided,0.6,0.5079539350161641,0.5631815740064656
User_6,Vegan,Product_2415,Fruits,serious,0.3,0.7086962597055799,0.463478503882232
User_7,Vegan,Product_2523,Nuts,undecided,0.6,0.804425361522131,0.6817701446088524
User_7,Vegan,Product_1401,Dairy,not_serious,0.9,0.6140615407354787,0.7856246162941916
User_7,Vegan,Product_1791,Grains,not_serious,0.9,0.9713368808573892,0.9285347523429557
User_7,Vegan,Product_961,Vegetables,serious,0.3,0.7347527710924646,0.47390110843698585
User_7,Vegan,Product_2236,Dairy,not_serious,0.9,0.8983153038007341,0.8993261215202937
User_8,Keto,Product_2803,Meat,serious,0.3,0.7147259394502767,0.4658903757801107
User_8,Keto,Product_812,Vegetables,not_serious,0.9,0.8726710017067637,0.8890684006827055
User_8,Keto,Product_2058,Fruits,not_serious,0.9,0.962385099853145,0.9249540399412581
User_8,Keto,Product_605,Dairy,serious,0.3,0.89123695402931,0.536494781611724
User_8,Keto,Product_1787,Meat,not_serious,0.9,0.6227207287486635,0.7890882914994655
User_9,Regular,Product_1933,Dairy,undecided,0.6,0.6318562264946695,0.6127424905978678
User_9,Regular,Product_2827,Vegetables,serious,0.3,0.9033508880475367,0.5413403552190147
User_9,Regular,Product_2860,Processed,undecided,0.6,0.6934702735130531,0.6373881094052212
User_9,Regular,Product_2296,Vegetables,undecided,0.6,0.9211793091445963,0.7284717236578385
User_9,Regular,Product_1293,Vegetables,not_serious,0.9,0.647294741677692,0.7989178966710768
User_10,Vegan,Product_1256,Grains,undecided,0.6,0.5016675331530628,0.5606670132612251
User_10,Vegan,Product_2663,Dairy,not_serious,0.9,0.6038032780601683,0.7815213112240673
User_10,Vegan,Product_276,Vegetables,serious,0.3,0.7007506208639619,0.46030024834558475
User_10,Vegan,Product_1693,Processed,serious,0.3,0.6695767515075983,0.4478307006030393
User_10,Vegan,Product_1988,Dairy,serious,0.3,0.8558334604255395,0.5223333841702158
