user_id,diet_type,product_name,PROD_CAT,predicted_risk,safety_score,health_score,recommendation_score
User_0,Keto,Product_182,Vegetables,not_serious,0.9,0.9323385804079911,0.9129354321631965
User_0,Keto,Product_2370,Dairy,not_serious,0.9,0.7380208992365535,0.8352083596946214
User_0,Keto,Product_1958,Nuts,undecided,0.6,0.6959401724548309,0.6383760689819323
User_0,Keto,Product_471,Meat,undecided,0.6,0.9762181272587863,0.7504872509035145
User_0,Keto,Product_884,Spices,not_serious,0.9,0.7738641797682491,0.8495456719072997
User_1,Regular,Product_964,Vegetables,not_serious,0.9,0.6982328585762233,0.8192931434304893
User_1,Regular,Product_2842,Meat,not_serious,0.9,0.6873628543901136,0.8149451417560455
User_1,Regular,Product_329,Beverages,serious,0.3,0.5791963888057561,0.4116785555223024
User_1,Regular,Product_496,Processed,not_serious,0.9,0.7495214270032167,0.8398085708012868
User_1,Regular,Product_1878,Dairy,not_serious,0.9,0.7893953237145654,0.8557581294858263
User_2,Vegetarian,Product_1311,Fruits,serious,0.3,0.9221806649357163,0.5488722659742865
User_2,Vegetarian,Product_2099,Spices,not_serious,0.9,0.8938952752104803,0.8975581100841922
User_2,Vegetarian,Product_1955,Spices,not_serious,0.9,0.6557716920654149,0.802308676826166
User_2,Vegetarian,Product_2592,Spices,not_serious,0.9,0.7530263538213441,0.8412105415285377
User_2,Vegetarian,Product_194,Grains,undecided,0.6,0.6428584517276934,0.6171433806910773
User_3,Regular,Product_2509,Meat,serious,0.3,0.8012714458348913,0.5005085783339565
User_3,Regular,Product_906,Beverages,serious,0.3,0.5962606602123732,0.4185042640849493
User_3,Regular,Product_444,Nuts,not_serious,0.9,0.6822940325534577,0.8129176130213831
User_3,Regular,Product_240,Dairy,undecided,0.6,0.9157943732407483,0.7263177492962993
User_3,Regular,Product_2974,Fruits,not_serious,0.9,0.5278223746192189,0.7511289498476876
User_4,Vegetarian,Product_3,Seafood,not_serious,0.9,0.7046525558942154,0.8218610223576862
User_4,Vegetarian,Product_2585,Processed,undecided,0.6,0.8535561011348409,0.7014224404539364
User_4,Vegetarian,Product_257,Dairy,not_serious,0.9,0.8777373054825333,0.8910949221930133
User_4,Vegetarian,Product_2354,Grains,undecided,0.6,0.8049659851198433,0.6819863940479374
User_4,Vegetarian,Product_357,Spices,not_serious,0.9,0.6194279474987208,0.7877711789994883
User_5,Keto,Product_1928,Spices,serious,0.3,0.56129740805415,0.40451896322166
User_5,Keto,Product_48,Processed,serious,0.3,0.5198339091034978,0.38793356364139914
User_5,Keto,Product_1983,Processed,undecided,0.6,0.9877779909420876,0.7551111963768351
User_5,Keto,Product_1951,Spices,undecided,0.6,0.8030083408566382,0.6812033363426553
User_5,Keto,Product_328,Vegetables,serious,0.3,0.6733016935533185,0.4493206774213274
User_6,Vegan,Product_1244,Spices,serious,0.3,0.560978546151659,0.4043914184606636
User_6,Vegan,Product_2710,Seafood,undecided,0.6,0.6263867218227174,0.6105546887290869
User_6,Vegan,Product_476,Meat,undecided,0.6,0.8122203503762488,0.6848881401504996
User_6,Vegan,Product_1727,Grains,serious,0.3,0.8902761002488608,0.5361104400995443
User_6,Vegan,Product_1643,Fruits,undecided,0.6,0.9395118763391574,0.735804750535663
User_7,Vegan,Product_368,Seafood,serious,0.3,0.8993505021968068,0.5397402008787227
User_7,Vegan,Product_431,Spices,not_serious,0.9,0.5613652007962353,0.7645460803184941
